"Data e Hora",PA
2021-10-29T09:00:00,1018.1,1
2021-10-29T08:00:00,1017.9,1
2021-10-29T07:00:00,1017.5,1
2021-10-29T06:00:00,1017.3,1
2021-10-29T05:00:00,1016.7,1
2021-10-29T04:00:00,1016.7,1
2021-10-29T03:00:00,1016.5,1
2021-10-29T02:00:00,1016.6,1
2021-10-29T01:00:00,1017.2,1
2021-10-29T00:00:00,1018.3,1
2021-10-28T23:00:00,1019.2,1
2021-10-28T22:00:00,1019.8,1
2021-10-28T21:00:00,1020.1,1
2021-10-28T20:00:00,1019.8,1
2021-10-28T19:00:00,1019.2,1
2021-10-28T18:00:00,1018.7,1
2021-10-28T17:00:00,1018.5,1
2021-10-28T16:00:00,1017.8,1
2021-10-28T15:00:00,1017.2,1
2021-10-28T14:00:00,1017.6,1
2021-10-28T13:00:00,1018.1,1
2021-10-28T12:00:00,1018.5,1
2021-10-28T11:00:00,1019,1
2021-10-28T10:00:00,1019.5,1
2021-10-28T09:00:00,1019.7,1
2021-10-28T08:00:00,1019.8,1
2021-10-28T07:00:00,1019.5,1
2021-10-28T06:00:00,1018.8,1
2021-10-28T05:00:00,1018.2,1
2021-10-28T04:00:00,1017.7,1
2021-10-28T03:00:00,1017.6,1
2021-10-28T02:00:00,1017.4,1
2021-10-28T01:00:00,1017.6,1
2021-10-28T00:00:00,1018.1,1
2021-10-27T23:00:00,1018.7,1
2021-10-27T22:00:00,1019.1,1
2021-10-27T21:00:00,1018.9,1
2021-10-27T20:00:00,1018.5,1
2021-10-27T19:00:00,1018,1
2021-10-27T18:00:00,1017.5,1
2021-10-27T17:00:00,1017.1,1
2021-10-27T16:00:00,1016.8,1
2021-10-27T15:00:00,1016.5,1
2021-10-27T14:00:00,1016.4,1
2021-10-27T13:00:00,1016.9,1
2021-10-27T12:00:00,1017.3,1
2021-10-27T11:00:00,1017.8,1
2021-10-27T10:00:00,1018,1
2021-10-27T09:00:00,1017.8,1
2021-10-27T08:00:00,1017.7,1
2021-10-27T07:00:00,1017.3,1
2021-10-27T06:00:00,1016.9,1
2021-10-27T05:00:00,1016.3,1
2021-10-27T04:00:00,1015.5,1
2021-10-27T03:00:00,1015,1
2021-10-27T02:00:00,1015.2,1
2021-10-27T01:00:00,1015.9,1
2021-10-27T00:00:00,1016.5,1
